message,label,token,category
"лося опасно ставить, сегодня баба на открытии проткнула 258, кто был на лосях получил страдания",FALSE,баба,сексизм
"на очень долгий срок это  space, на дистанцию в 5 лет определенно баба!",FALSE,баба,сексизм
значит нужно срочно продать алибаба? а он у меня в минусе!,FALSE,баба,сексизм
"с яндексом вы точно все спрогнозировали, но если бы знали про тинькова, то не по 4900 рекомендовали сбрасывать. я, кстати сбросил по 4900",FALSE,яндекс,компании
"с чего ты это взял ?)  если я действительно не эксперт и что мне рекомендовать человеку? ? скупай все акции тинькофф!? я посоветовал, то чем сам пользуюсь и на что опираюсь )",FALSE,тиньк,компании
посмотрим что будет. мне на твой шорт яндекс страшно смотреть))))),FALSE,яндекс,компании
момо в тиньке не шортится,FALSE,тиньк,компании
"я правильно понимаю, что вот эта облигация от тинькофф {$ru000a102796} из этой же серии? тут тоже дополнительный доход зависит от каких-то условий. или есть принципиальные отличия?",FALSE,тиньк,компании
"сколько смотрю, после отчетов в основном резко вниз. касается всех акций! (тесла в пример и солар эдж",FALSE,тесла,компании
"я так и знал, что членов секты тесла по 500 это заденет?",FALSE,тесла,компании
"в тинькофф недавно,я раньше через сбер на валюте спекулировал?не сказать что состояние сколотил,но прилично поднял?",FALSE,тиньк,компании
вы про меня?)) да в тиньке пока минус.. но это не проблема)) пока?иис в плюсе,FALSE,тиньк,компании
та же проблема с алибаба,FALSE,баба,сексизм
бред несёте))))баба никогда особо на проблемы рынков не реагировала),FALSE,баба,сексизм
"блин, а недобаба лучше торгует чем недомужик",FALSE,баба,сексизм
"у меня 16 :(((( и усреднять нечем. если только тесла сегодня взлетит, зафиксирую её и усредню нвидию хоть немного.",FALSE,тесла,компании
"думаю теслу будут выдавливать с рынка другие автопроизводители, но илон маск просто так не сдастся. даже в китае тесла считается лидером по продаже электрокаров.",FALSE,тесла,компании
"реакция на то, что до 2022 го года тесла не планирует переходить на свои супер крутые батареи и отказываться от панасоника)",FALSE,тесла,компании
"он вроде осетинской заявлял недавно, что денег ему особо не надо, живет скромно и большая часть капитала в акциях тинька, его все устраивает. видимо что-то изменилось",FALSE,тиньк,компании
"яндекс будет стоить 5000 до нг, инфа сотка)",FALSE,яндекс,компании
зато тесла тесно связана с антидобычей нефти ...,FALSE,тесла,компании
"волатильна, но не бешенная..  ленивец тесла такая... тут в даже скачки медленные....",FALSE,тесла,компании
тесла сейчас совсем для грустных)),FALSE,тесла,компании
господи! как вы на яндекс дзене надоели!! и сюда притащились..ну сколько можно? не для этого пульс..,FALSE,яндекс,компании
там алибаба наша поехала),FALSE,баба,сексизм
стервозная баба,TRUE,баба,сексизм
"господи, дед несёт фигню. на пенсию его!! оставьте трампа, он хоть твиты норм пишет",FALSE,трамп,политика
"возможно, снижение котировок произошло на фоне сообщений о том, что власти сша обсуждают возможность делистинга китайских компаний со своих фондовых бирж.. никак этот трамппп не успокоится!))",FALSE,трамп,политика
ходят слухи трампа ждем,FALSE,трамп,политика
"риск большой, если смотреть график 6 мес, то вроде как все красиво, и не брать в счет 9 ноября, та же тесла год назад 150 стоила, а сейчас 440, хотя по логике 250 максимум должно быть",FALSE,тесла,компании
не стоит яндекс таких денег. как и тесла,FALSE,тесла,компании
"неизвестно где дно , но если есть что фиксить , я бы зафиксил по яндексу, но лучше думай сам :)",FALSE,яндекс,компании
хочешь сказать яндекс упадёт?,FALSE,яндекс,компании
"малинка, риг, g1 и иногда разбавлять это все тесла ?? хорошая новость, завтра акции вверх ?",FALSE,тесла,компании
"тесла ещё держится, по сравнению с тем же яблоком",FALSE,тесла,компании
"нет, не ужаснулся и не рот вовсе",FALSE,рот,другое
достойный чертёж! чувствуется фундаментал!,FALSE,черт,другое
"да не, ты все прально начертил походу. туда и повезут наверное",FALSE,черт,другое
"да какие лонги то, падает все к чертовой бабушки",FALSE,черт,другое
ты кто такой ...а дальше слова песни всем известны .,FALSE,пес,другое
пес,FALSE,пес,другое
"слышал кто-то говорил, что азия тесла их не интересует особо",FALSE,тесла,компании
"странно. почему я не инвестировал в биткойн , но зато инвестировал в тесла ... я же не излечим ???",FALSE,тесла,компании
а есть пруф на тинькофф?,FALSE,тиньк,компании
мой сынок тебе в рот не поместится- отвечу тебе на твоем уровене развития,TRUE,рот,другое
удали пост! нам не надо ничего доказывать. нафиг вы обое нам не нужны. забанят.,FALSE,забан,другое
"ещё раз повторяю.цифры напиши свои ,а лучше адрес свой петушиный ,смельчак !в сети смотрю вы петухи все смелые такие ,а ну в лицо повтори мне свои слова,я тебе в рот дам!",TRUE,рот,сексизм
"ахаххаа ага, типичная баба",TRUE,баба,сексизм
баба всегда судит всех по себе пмсом - классика,FALSE,баба,сексизм
